2059;2014SP;186c;;Withdrawn;12/26/2013;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0;0;0;0;0;0;0;0;100.00;80.00;90.00;75.00;60.00;70.00;0;0;0;0;0;0;0;0;0;28.500;NULL;28.50
2060;2014SP;186c;;Dropped;12/09/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2061;2014SP;186c;;;12/06/2013;100.00;100.00;90.00;0;0;0;0;0;0;0;0;0;0;0;0;85.00;65.00;65.00;0;0;0;0;0;0;0;0;0;0;0;0;10.100;NULL;10.10
2062;2014SP;186c;;;01/06/2014;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0;0;0;0;0;90.00;90.00;90.00;95.00;85.00;75.00;95.00;95.00;90.00;100.00;95.00;0;0;0;0;45.100;NULL;52.00
2063;2014SP;186c;FED;;11/18/2013;100.00;100.00;100.00;100.00;100.00;100.00;80.00;100.00;100.00;100.00;0;0;0;0;0;100.00;70.00;85.00;85.00;100.00;75.00;80.00;80.00;0;70.00;0;0;0;0;0;39.700;NULL;46.10
2064;2014SP;186c;;Withdrawn;12/12/2013;100.00;100.00;100.00;100.00;0;0;0;0;0;0;0;0;0;0;0;100.00;75.00;100.00;95.00;55.00;0;0;0;0;0;0;0;0;0;0;17.500;NULL;17.50
2065;2014SP;186c;;Dropped;01/07/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2066;2014SP;186c;;;01/07/2014;100.00;100.00;100.00;100.00;100.00;60.00;90.00;100.00;100.00;100.00;0;0;0;0;0;100.00;100.00;95.00;90.00;90.00;90.00;85.00;85.00;85.00;90.00;0;0;0;0;0;41.800;NULL;48.60
2067;2014SP;186c;;;01/08/2014;100.00;100.00;99.00;100.00;100.00;100.00;100.00;95.00;100.00;80.00;0;0;0;0;0;95.00;90.00;85.00;90.00;90.00;90.00;85.00;100.00;95.00;90.00;0;0;0;0;0;44.980;NULL;48.98
2068;2014SP;186c;;;12/02/2013;100.00;100.00;99.00;100.00;100.00;100.00;100.00;99.00;90.00;0;0;0;0;0;0;95.00;90.00;90.00;75.00;60.00;55.00;75.00;45.00;0;0;0;0;0;0;0;38.240;NULL;38.24
2069;2014SP;186c;;;11/22/2013;100.00;100.00;100.00;100.00;25.00;60.00;90.00;1.00;99.00;100.00;0;0;0;0;0;95.00;65.00;70.00;70.00;55.00;85.00;65.00;0;0;60.00;50.00;0;0;0;0;30.450;NULL;36.45
2070;2014SP;186c;;Withdrawn;12/09/2013;100.00;90.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.800;NULL;03.80
2071;2014SP;186c;;Withdrawn;11/25/2013;100.00;100.00;100.00;90.00;0;0;0;0;0;0;0;0;0;0;0;95.00;0;80.00;0;0;0;0;0;0;0;0;0;0;0;0;12.200;NULL;12.20
2072;2014SP;186c;;Dropped;12/04/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2073;2014SP;186c;;Withdrawn;01/21/2014;100.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.000;NULL;04.00
2074;2014SP;186c;;;11/25/2013;100.00;100.00;90.00;100.00;95.00;60.00;70.00;55.00;0;0;0;0;0;0;0;75.00;75.00;55.00;55.00;40.00;55.00;0;30.00;0;0;0;0;0;0;0;26.150;NULL;26.15
2075;2014SP;186c;FED;Dropped;11/21/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2076;2014SP;186c;;Dropped;01/06/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
